Temp,Hum,Lght,H2O,Co2,Hrat,Occ
22.2,27.29,299,462,594.3333333,0.004517288,0
20.5,21.26,300,426,448.3333333,0.003164011,0
20.5,21.2675,301,486,443.75,0.003165133,0
20.5,21.29,302,406,442.5,0.003168499,0
20.5,21.29,303,319,444.5,0.003168499,0
20.2,20.96333333,299,363,445.6666667,0.003062073,0
20.2,20.89,300,486,446,0.003051308,0
20.2,20.85666667,301,306,443.6666667,0.003046416,0
20.2,20.89,302,476,439,0.003051308,0
20.2,20.79,303,438,441,0.00303663,0
20.2,20.79,304,455,442,0.00303663,0
20.2,20.745,305,405,443.5,0.003030026,0
20.245,20.84,299,370,443,0.003052493,0
20.245,20.84,299,362,442,0.003052493,0
20.29,20.89,299,392,443,0.003068418,0
20.29,20.89,299,362,444,0.003068418,0
20.29,20.79,299,431,443,0.003053658,0
20.29,20.79,299,405,442,0.003053658,0
20.29,20.79,299,349,443,0.003053658,0
20.29,20.79,299,368,441,0.003053658,0
20.29,20.79,299,317,446.3333333,0.003053658,0
20.29,20.7,299,304,446,0.003040374,0
20.29,20.7,299,336,439,0.003040374,0
20.35666667,20.7,300,425,444.3333333,0.003052986,0
20.29,20.65,301,441,446,0.003032994,0
20.29,20.7,302,348,442,0.003040374,0
20.29,20.7,303,315,441.5,0.003040374,0
20.29,20.7,304,410,440.5,0.003040374,0
20.29,20.7,305,312,443.5,0.003040374,0
20.29,20.7,306,311,440.5,0.003040374,0
20.29,20.7,307,376,437.5,0.003040374,0
20.29,20.7,308,448,438,0.003040374,0
20.29,20.7,309,488,443,0.003040374,0
20.26,20.7,310,458,443,0.003034714,0
20.29,20.7,311,398,436.3333333,0.003040374,0
20.29,20.76,311,336,438.3333333,0.00304923,0
20.29,20.7,311,429,437,0.003040374,0
20.29,20.7,311,482,439,0.003040374,0
20.245,20.7,311,337,436,0.003031887,0
20.29,20.7,311,473,432.5,0.003040374,0
20.23,20.63333333,311,320,435,0.00301926,0
20.245,20.65,311,475,442,0.003024528,0
20.2,20.6,311,383,444.5,0.003008744,0
20.29,20.7,311,315,447,0.003040374,0
20.2,20.6,311,440,446,0.003008744,0
20.23,20.56666667,311,379,442.3333333,0.003009457,0
20.245,20.55,311,305,440,0.003009811,0
20.29,20.6,259,470,440,0.003025615,0
20.26,20.49666667,260,314,439.6666667,0.00300476,0
20.29,20.5,261,470,442,0.003010856,0
20.29,20.55,262,335,441,0.003018235,0
20.29,20.6,263,302,441,0.003025615,0
20.29,20.5,264,350,441.75,0.003010856,0
20.32333333,20.5,265,456,442,0.003017095,0
20.39,20.445,266,411,443,0.003021439,0
20.39,20.39,267,337,443,0.003013271,0
20.39,20.29,268,361,440,0.002998422,0
20.39,20.2,268,414,441,0.002985058,0
20.39,20.2,268,347,439,0.002985058,0
20.39,20.2,268,372,436,0.002985058,0
20.39,20.1,268,465,433.5,0.00297021,0
20.39,20.1,268,400,435,0.00297021,0
20.39,20.05,268,428,434,0.002962786,0
20.34,20.05,268,437,438.5,0.002953606,0
20.39,20.05,268,350,440,0.002962786,0
20.39,20,268,323,439,0.002955362,0
20.39,20,260,372,440.5,0.002955362,0
20.39,20,261,303,433,0.002955362,0
20.39,19.945,262,447,436.5,0.002947197,0
20.5,19.89,263,345,438,0.002959152,0
20.42666667,19.92666667,264,497,438,0.002951181,0
20.5,19.89,265,451,441,0.002959152,0
20.5,19.89,266,311,434,0.002959152,0
20.5,19.89,267,386,439.5,0.002959152,0
20.5,19.89,268,311,438,0.002959152,0
20.5,19.89,269,495,435.5,0.002959152,0
20.5,19.89,269,422,436,0.002959152,0
20.5,19.89,269,316,439.5,0.002959152,0
20.5,19.89,269,434,439.5,0.002959152,0
20.5,19.89,269,324,438.5,0.002959152,0
20.5,19.89,269,475,435,0.002959152,0
20.5,19.745,269,314,435,0.002937477,0
20.5,19.79,269,325,436,0.002944204,0
20.55,19.84,269,301,433,0.00296084,0
20.5,19.79,269,387,433.6666667,0.002944204,0
